Cat1,AvgS1,M1,Co1,Cat2,AvgS2,M2,Co2,Cat3,AvgS3,M3,Co3,Cat4,AvgS4,M4,Co4,NumDeg,NumCertf,NumJobs,AverageMonths
IT,71779,23,1,Engineering,81584.97869,13,0,Engineering,81584.97869,14,0,IT,69783.6369,4,1,3,3,4,13.5
Unemployed,0,21,1,Other,53085.31717,5,1,Other,53085.31717,33,0,Service,47500,6,1,3,3,4,16.25
IT,69783.6369,11,1,IT,69783.6369,2,1,Unemployed,0,21,1,Other,53085.31717,6,1,3,3,4,10
Engineering,81584.97869,7,1,IT,69783.6369,29,1,Operations,69434.83383,37,1,Management,79819.50204,102,1,3,3,4,43.75
Service,37263.83653,190,1,Other,53085.31717,18,0,Other,53085.31717,4,0,Other,53085.31717,5,0,3,3,4,54.25
Admin,51794.60833,197,0,Academia,63461.28125,188,0,Other,53085.31717,91,0,Management,79819.50204,21,1,3,3,4,124.25
Government,78213.325,44,1,Government,78213.325,95,1,Government,78213.325,8,1,Other,53085.31717,2,1,2,3,4,37.25
Management,79819.50204,154,0,Government,78213.325,75,0,Consultant,78074.16822,12,0,HR,51182.90816,42,0,1,1,4,70.75
Management,79819.50204,5,1,Management,79819.50204,4,1,Other,53085.31717,30,1,Operations,69434.83383,10,1,2,3,4,12.25
Academia,63461.28125,47,1,Service,37263.83653,80,0,Government,78213.325,90,0,Academia,63461.28125,6,0,1,1,4,55.75
Academia,63461.28125,47,1,Service,37263.83653,80,0,Government,78213.325,90,0,Academia,63461.28125,6,0,1,1,4,55.75
Academia,63461.28125,19,0,Unemployed,0,3,1,Unemployed,0,3,1,Service,37263.83653,3,1,3,3,4,7
Other,53085.31717,97,0,Other,53085.31717,275,0,Other,53085.31717,46,0,Management,79819.50204,54,0,3,3,4,118
Management,89003.44444,12,0,HR,51182.90816,41,1,Finance,60991.45474,23,1,HR,51182.90816,18,1,2,1,4,23.5
Management,89003.44444,51,1,HR,51182.90816,19,1,HR,51182.90816,38,0,Unemployed,0,0,0,2,1,3,27
Academia,89003.44444,32,1,Service,70010.38462,25,1,Management,79819.50204,31,1,Executive,123893.3069,29,1,3,3,4,29.25
Management,89003.44444,31,1,HR,51182.90816,63,1,HR,51182.90816,4,1,HR,51182.90816,30,0,1,1,4,32
