Cat1,AvgS1,M1,Co1,Cat2,AvgS2,M2,Co2,Cat3,AvgS3,M3,Co3,Cat4,AvgS4,M4,Co4,Cat5,AvgS5,M5,Co5,NumDeg,NumCertf,numJobs,AverageMonths
Unemployed,0,21,1,Other,53085.31717,5,1,Other,53085.31717,33,0,Service,37263.83653,6,1,Admin,51794.60833,2,0,3,3,5,13.4
IT,69783.6369,11,1,IT,69783.6369,2,1,Unemployed,0,21,1,Other,53085.31717,6,1,Unemployed,0,38,1,3,3,5,15.6
Engineering,81584.97869,7,1,IT,69783.6369,29,1,Operations,69434.83383,37,1,Management,79819.50204,102,1,Other,53085.31717,6,0,3,3,5,36.2
Service,37263.83653,190,1,Other,53085.31717,18,0,Other,53085.31717,4,0,Other,53085.31717,5,0,Service,37263.83653,24,1,3,3,5,48.2
Admin,51794.60833,197,0,Academia,63461.28125,188,0,Other,53085.31717,91,0,Management,79819.50204,21,1,Academia,63461.28125,149,0,3,3,5,129.2
Government,78213.325,44,1,Government,78213.325,95,1,Government,78213.325,8,1,Other,53085.31717,2,1,Other,53085.31717,6,0,2,3,5,31
Management,79819.50204,154,0,Government,78213.325,75,0,Consultant,78074.16822,12,0,HR,51182.90816,42,0,Unemployed,0,6,0,1,1,5,57.8
Management,79819.50204,5,1,Management,79819.50204,4,1,Other,53085.31717,30,1,Operations,69434.83383,10,1,Executive,123893.3069,6,0,2,3,5,11
Government,78213.325,6,0,Other,53085.31717,52,1,Admin,51794.60833,93,0,Admin,51794.60833,6,0,Management,79819.50204,6,0,1,1,5,32.6
Government,78213.325,6,0,Other,53085.31717,52,1,Admin,51794.60833,93,0,Admin,51794.60833,6,0,Management,79819.50204,6,0,1,1,5,32.6
Academia,63461.28125,47,1,Service,37263.83653,80,0,Government,78213.325,90,0,Academia,63461.28125,6,0,Unemployed,0,0,0,1,1,4,44.6
Academia,63461.28125,47,1,Service,37263.83653,80,0,Government,78213.325,90,0,Academia,63461.28125,6,0,Unemployed,0,0,0,1,1,4,44.6
Academia,63461.28125,19,0,Unemployed,0,3,1,Unemployed,0,3,1,Service,37263.83653,3,1,Service,37263.83653,1,1,3,3,5,5.8
Other,53085.31717,97,0,Other,53085.31717,275,0,Other,53085.31717,46,0,Management,79819.50204,54,0,Service,37263.83653,47,0,3,3,5,103.8
Academia,63461.28125,32,1,Service,37263.83653,25,1,Management,79819.50204,31,1,Executive,123893.3069,29,1,Management,79819.50204,8,1,3,3,5,25
IT,69783.6369,43,0,Sales,47142.92286,68,1,Marketing,50436.77654,3,1,Other,53085.31717,3,1,Other,53085.31717,3,1,3,3,5,24
IT,69783.6369,100,1,Sales,47142.92286,87,0,Admin,51794.60833,33,0,Other,53085.31717,44,0,Other,53085.31717,6,0,3,3,5,54
IT,69783.6369,93,0,Sales,47142.92286,64,0,Executive,123893.3069,58,0,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,45.4
IT,69783.6369,12,1,Sales,47142.92286,10,1,Sales,47142.92286,30,1,Sales,47142.92286,9,0,Sales,47142.92286,10,0,3,3,5,14.2
IT,69783.6369,8,1,Sales,47142.92286,44,1,Sales,47142.92286,18,1,Other,53085.31717,59,1,IT,69783.6369,2,1,3,3,5,26.2
IT,69783.6369,8,1,Sales,47142.92286,3,1,Executive,123893.3069,12,0,Other,53085.31717,3,1,Management,79819.50204,3,1,3,3,5,5.8
IT,69783.6369,6,1,Sales,47142.92286,7,1,Management,79819.50204,17,1,Management,79819.50204,11,1,Sales,47142.92286,6,1,3,3,5,9.4
IT,69783.6369,1,1,Marketing,50436.77654,5,1,Marketing,50436.77654,4,1,Marketing,50436.77654,12,0,Unemployed,0,0,0,1,1,4,4.4
Sales,47142.92286,10,1,HR,51182.90816,21,1,HR,51182.90816,21,1,HR,51182.90816,49,0,Management,79819.50204,36,0,3,1,5,27.4
Sales,47142.92286,45,0,Sales,47142.92286,10,0,Sales,47142.92286,17,0,IT,69783.6369,65,0,Sales,47142.92286,27,0,3,3,5,32.8
Sales,47142.92286,56,1,Other,53085.31717,6,0,Other,53085.31717,6,0,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,16
Sales,47142.92286,26,1,Engineering,81584.97869,12,0,Engineering,81584.97869,149,1,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,39.8
